ID,File,Book,Chapter,Set,Set item,Printed question number,Question PDF page,Answer PDF page,Reading PDF pages,Printed marked option position (1-based),Scoring status
b1-c2-s1-q06,Copy of Book 1.pdf,1,2,1,6,6,78,248,19–20,2,marked
b1-c2-s1-q07,Copy of Book 1.pdf,1,2,1,7,7,78,248,19–20,2,marked
b1-c2-s1-q08,Copy of Book 1.pdf,1,2,1,8,8,79,249,19–20,2,marked
b1-c2-s1-q09,Copy of Book 1.pdf,1,2,1,9,9,79,249,19–20,5,marked
b1-c2-s1-q10,Copy of Book 1.pdf,1,2,1,10,10,79,249,19–20,5,marked
b1-c2-s1-q11,Copy of Book 1.pdf,1,2,1,11,11,79,249,19–20,1,marked
b1-c2-s1-q12,Copy of Book 1.pdf,1,2,1,12,12,79,249,19–20,3,marked
b1-c2-s1-q13,Copy of Book 1.pdf,1,2,1,13,13,80,250,19–20,1,marked
b1-c2-s1-q14,Copy of Book 1.pdf,1,2,1,14,14,80,250,19–20,2,marked
b1-c2-s1-q15,Copy of Book 1.pdf,1,2,1,15,15,80,250,19–20,3,marked
b1-c2-s1-q16,Copy of Book 1.pdf,1,2,1,16,16,80,250,19–20,4,note
b1-c2-s1-q17,Copy of Book 1.pdf,1,2,1,17,17,81,251,19–20,1,marked
b1-c2-s1-q18,Copy of Book 1.pdf,1,2,1,18,18,81,251,19–20,2,marked
b1-c2-s1-q19,Copy of Book 1.pdf,1,2,1,19,19,81,251,19–20,2,note
b1-c2-s1-q20,Copy of Book 1.pdf,1,2,1,20,20,81,251,19–20,2,marked
b1-c2-s1-q21,Copy of Book 1.pdf,1,2,1,21,21,81,251,19–20,4,marked
b1-c2-s1-q22,Copy of Book 1.pdf,1,2,1,22,22,82,252,19–20,5,marked
b1-c2-s1-q23,Copy of Book 1.pdf,1,2,1,23,23,82,252,19–20,1,marked
b1-c2-s1-q24,Copy of Book 1.pdf,1,2,1,24,24,82,252,19–20,2,disputed
b1-c2-s1-q25,Copy of Book 1.pdf,1,2,1,25,25,82,252,19–20,1,marked
b1-c2-s1-q26,Copy of Book 1.pdf,1,2,1,26,26,83,253,19–20,3,marked
b1-c2-s1-q27,Copy of Book 1.pdf,1,2,1,27,27,83,253,19–20,1,marked
b1-c2-s1-q28,Copy of Book 1.pdf,1,2,1,28,28,83,253,19–20,2,marked
b1-c2-s1-q29,Copy of Book 1.pdf,1,2,1,29,29,83,253,19–20,2,marked
b1-c2-s1-q30,Copy of Book 1.pdf,1,2,1,30,30,83,253,19–20,2,marked
b1-c2-s2-q01,Copy of Book 1.pdf,1,2,2,1,1,85,255,20–21,2,marked
b1-c2-s2-q02,Copy of Book 1.pdf,1,2,2,2,2,85,255,20–21,5,marked
b1-c2-s2-q03,Copy of Book 1.pdf,1,2,2,3,3,85,255,20–21,3,marked
b1-c2-s2-q04,Copy of Book 1.pdf,1,2,2,4,4,85,255,20–21,4,marked
b1-c2-s2-q05,Copy of Book 1.pdf,1,2,2,5,5,86,256,20–21,1,marked
b1-c2-s2-q06,Copy of Book 1.pdf,1,2,2,6,6,86,256,20–21,1,marked
b1-c2-s2-q07,Copy of Book 1.pdf,1,2,2,7,7,86,256,20–21,3,marked
b1-c2-s2-q08,Copy of Book 1.pdf,1,2,2,8,8,86,256,20–21,4,marked
b1-c2-s2-q09,Copy of Book 1.pdf,1,2,2,9,9,87,257,20–21,1,marked
b1-c2-s2-q10,Copy of Book 1.pdf,1,2,2,10,10,87,257,20–21,,unresolved
b1-c2-s2-q11,Copy of Book 1.pdf,1,2,2,11,11,87,257,20–21,1,marked
b1-c2-s2-q12,Copy of Book 1.pdf,1,2,2,12,12,87,257,20–21,2,marked
b1-c2-s2-q13,Copy of Book 1.pdf,1,2,2,13,13,88,258,20–21,4,marked
b1-c2-s2-q14,Copy of Book 1.pdf,1,2,2,14,14,88,258,20–21,2,marked
b1-c2-s2-q15,Copy of Book 1.pdf,1,2,2,15,15,88,258,20–21,2,marked
b1-c2-s2-q16,Copy of Book 1.pdf,1,2,2,16,16,88,258,20–21,5,marked
b1-c2-s2-q17,Copy of Book 1.pdf,1,2,2,17,17,89,259,20–21,4,marked
b1-c2-s2-q18,Copy of Book 1.pdf,1,2,2,18,18,89,259,20–21,3,marked
b1-c2-s2-q19,Copy of Book 1.pdf,1,2,2,19,19,89,259,20–21,2,marked
b1-c2-s2-q20,Copy of Book 1.pdf,1,2,2,20,20,89,259,20–21,1,marked
b1-c2-s2-q21,Copy of Book 1.pdf,1,2,2,21,21,89,260,20–21,1,marked
b1-c2-s2-q22,Copy of Book 1.pdf,1,2,2,22,22,90,260,20–21,1,marked
b1-c2-s2-q23,Copy of Book 1.pdf,1,2,2,23,23,90,260,20–21,2,marked
b1-c2-s2-q24,Copy of Book 1.pdf,1,2,2,24,24,90,260,20–21,3,note
b1-c2-s2-q25,Copy of Book 1.pdf,1,2,2,25,25,90,260,20–21,5,note
b1-c2-s2-q26,Copy of Book 1.pdf,1,2,2,26,26,91,261,20–21,2,marked
b1-c2-s2-q27,Copy of Book 1.pdf,1,2,2,27,27,91,261,20–21,3,marked
b1-c2-s2-q28,Copy of Book 1.pdf,1,2,2,28,28,91,261,20–21,1,marked
b1-c2-s2-q29,Copy of Book 1.pdf,1,2,2,29,29,91,261,20–21,4,marked
b1-c2-s2-q30,Copy of Book 1.pdf,1,2,2,30,30,91,261,20–21,4,marked
b1-c3-s1-q01,Copy of Book 1.pdf,1,3,1,1,1,115,285,26–27,1,marked
b1-c3-s1-q02,Copy of Book 1.pdf,1,3,1,2,2,115,285,26–27,5,marked
b1-c3-s1-q03,Copy of Book 1.pdf,1,3,1,3,3,116,286,26–27,2,marked
b1-c3-s1-q04,Copy of Book 1.pdf,1,3,1,4,4,116,286,26–27,4,marked
b1-c3-s1-q05,Copy of Book 1.pdf,1,3,1,5,5,116,286,26–27,5,marked
b1-c3-s1-q06,Copy of Book 1.pdf,1,3,1,6,6,116,286,26–27,1,marked
b1-c3-s1-q07,Copy of Book 1.pdf,1,3,1,7,7,116,286,26–27,3,marked
b1-c3-s1-q08,Copy of Book 1.pdf,1,3,1,8,8,117,287,26–27,2,marked
b1-c3-s1-q09,Copy of Book 1.pdf,1,3,1,9,9,117,287,26–27,3,marked
b1-c3-s1-q10,Copy of Book 1.pdf,1,3,1,10,10,117,287,26–27,2,disputed
b1-c3-s1-q11,Copy of Book 1.pdf,1,3,1,11,11,117,287,26–27,3,marked
b1-c3-s1-q12,Copy of Book 1.pdf,1,3,1,12,12,118,288,26–27,4,marked
b1-c3-s1-q13,Copy of Book 1.pdf,1,3,1,13,13,118,288,26–27,3,marked
b1-c3-s1-q14,Copy of Book 1.pdf,1,3,1,14,14,118,288,26–27,1,marked
b1-c3-s1-q15,Copy of Book 1.pdf,1,3,1,15,15,118,288,26–27,3,marked
b1-c3-s1-q16,Copy of Book 1.pdf,1,3,1,16,16,119,289,26–27,4,marked
b1-c3-s1-q17,Copy of Book 1.pdf,1,3,1,17,17,119,289,26–27,5,marked
b1-c3-s1-q18,Copy of Book 1.pdf,1,3,1,18,18,119,289,26–27,1,marked
b1-c3-s1-q19,Copy of Book 1.pdf,1,3,1,19,19,119,289,26–27,3,marked
b1-c3-s1-q20,Copy of Book 1.pdf,1,3,1,20,20,119,289,26–27,2,marked
b1-c3-s1-q21,Copy of Book 1.pdf,1,3,1,21,21,120,290,26–27,5,marked
b1-c3-s1-q22,Copy of Book 1.pdf,1,3,1,22,22,120,290,26–27,2,marked
b1-c3-s1-q23,Copy of Book 1.pdf,1,3,1,23,23,120,290,26–27,2,marked
b1-c3-s1-q24,Copy of Book 1.pdf,1,3,1,24,24,120,290,26–27,3,marked
b1-c3-s1-q25,Copy of Book 1.pdf,1,3,1,25,25,121,291,26–27,4,marked
b1-c3-s1-q26,Copy of Book 1.pdf,1,3,1,26,26,121,291,26–27,1,marked
b1-c3-s1-q27,Copy of Book 1.pdf,1,3,1,27,27,121,291,26–27,2,marked
b1-c3-s1-q28,Copy of Book 1.pdf,1,3,1,28,28,121,291,26–27,2,marked
b1-c3-s1-q29,Copy of Book 1.pdf,1,3,1,29,29,121,291,26–27,3,marked
b1-c3-s1-q30,Copy of Book 1.pdf,1,3,1,30,30,122,292,26–27,4,disputed
b1-c3-s2-q01,Copy of Book 1.pdf,1,3,2,1,1,123,293,27–28,2,marked
b1-c3-s2-q02,Copy of Book 1.pdf,1,3,2,2,2,123,293,27–28,1,marked
b1-c3-s2-q03,Copy of Book 1.pdf,1,3,2,3,3,123,293,27–28,2,disputed
b1-c3-s2-q04,Copy of Book 1.pdf,1,3,2,4,4,123,293,27–28,2,marked
b1-c3-s2-q05,Copy of Book 1.pdf,1,3,2,5,5,124,294,27–28,3,marked
b1-c3-s2-q06,Copy of Book 1.pdf,1,3,2,6,6,124,294,27–28,4,marked
b1-c3-s2-q07,Copy of Book 1.pdf,1,3,2,7,7,124,294,27–28,3,marked
b1-c3-s2-q08,Copy of Book 1.pdf,1,3,2,8,8,124,294,27–28,5,marked
b1-c3-s2-q09,Copy of Book 1.pdf,1,3,2,9,9,125,295,27–28,4,marked
b1-c3-s2-q10,Copy of Book 1.pdf,1,3,2,10,10,125,295,27–28,2,note
b1-c3-s2-q11,Copy of Book 1.pdf,1,3,2,11,11,125,295,27–28,1,marked
b1-c3-s2-q12,Copy of Book 1.pdf,1,3,2,12,12,125,295,27–28,2,marked
b1-c3-s2-q13,Copy of Book 1.pdf,1,3,2,13,13,126,296,27–28,1,marked
b1-c3-s2-q14,Copy of Book 1.pdf,1,3,2,14,14,126,296,27–28,3,marked
b1-c3-s2-q15,Copy of Book 1.pdf,1,3,2,15,15,126,296,27–28,3,marked
b1-c3-s2-q16,Copy of Book 1.pdf,1,3,2,16,16,126,296,27–28,4,marked
b1-c3-s2-q17,Copy of Book 1.pdf,1,3,2,17,17,127,297,27–28,2,marked
b1-c3-s2-q18,Copy of Book 1.pdf,1,3,2,18,18,127,297,27–28,2,marked
b1-c3-s2-q19,Copy of Book 1.pdf,1,3,2,19,19,127,297,27–28,3,marked
b1-c3-s2-q20,Copy of Book 1.pdf,1,3,2,20,20,127,297,27–28,1,marked
b1-c3-s2-q21,Copy of Book 1.pdf,1,3,2,21,21,127,297,27–28,3,marked
b1-c3-s2-q22,Copy of Book 1.pdf,1,3,2,22,22,128,298,27–28,1,marked
b1-c3-s2-q23,Copy of Book 1.pdf,1,3,2,23,23,128,298,27–28,2,marked
b1-c3-s2-q24,Copy of Book 1.pdf,1,3,2,24,24,128,298,27–28,4,marked
b1-c3-s2-q25,Copy of Book 1.pdf,1,3,2,25,25,128,298,27–28,2,marked
b1-c3-s2-q26,Copy of Book 1.pdf,1,3,2,26,26,129,299,27–28,2,marked
b1-c3-s2-q27,Copy of Book 1.pdf,1,3,2,27,27,129,299,27–28,2,marked
b1-c3-s2-q28,Copy of Book 1.pdf,1,3,2,28,28,129,299,27–28,4,marked
b1-c3-s2-q29,Copy of Book 1.pdf,1,3,2,29,29,129,299,27–28,2,marked
b1-c3-s2-q30,Copy of Book 1.pdf,1,3,2,30,30,130,300,27–28,3,marked
b1-c4-s1-q01,Copy of Book 1.pdf,1,4,1,1,1,149,319,32–33,5,marked
b1-c4-s1-q02,Copy of Book 1.pdf,1,4,1,2,2,149,319,32–33,4,marked
b1-c4-s1-q03,Copy of Book 1.pdf,1,4,1,3,3,150,320,32–33,3,marked
b1-c4-s1-q04,Copy of Book 1.pdf,1,4,1,4,4,150,320,32–33,2,marked
b1-c4-s1-q05,Copy of Book 1.pdf,1,4,1,5,5,150,320,32–33,1,marked
b1-c4-s1-q06,Copy of Book 1.pdf,1,4,1,6,6,150,320,32–33,5,marked
b1-c4-s1-q07,Copy of Book 1.pdf,1,4,1,7,7,150,320,32–33,1,marked
b1-c4-s1-q08,Copy of Book 1.pdf,1,4,1,8,8,151,321,32–33,2,marked
b1-c4-s1-q09,Copy of Book 1.pdf,1,4,1,9,9,151,321,32–33,3,marked
b1-c4-s1-q10,Copy of Book 1.pdf,1,4,1,10,10,151,321,32–33,2,marked
b1-c4-s1-q11,Copy of Book 1.pdf,1,4,1,11,11,151,321,32–33,1,marked
b1-c4-s1-q12,Copy of Book 1.pdf,1,4,1,12,12,151,322,32–33,2,marked
b1-c4-s1-q13,Copy of Book 1.pdf,1,4,1,13,13,152,322,32–33,3,marked
b1-c4-s1-q14,Copy of Book 1.pdf,1,4,1,14,14,152,322,32–33,2,marked
b1-c4-s1-q15,Copy of Book 1.pdf,1,4,1,15,15,152,322,32–33,1,marked
b1-c4-s1-q16,Copy of Book 1.pdf,1,4,1,16,16,152,322,32–33,2,marked
b1-c4-s1-q17,Copy of Book 1.pdf,1,4,1,17,17,153,323,32–33,1,marked
b1-c4-s1-q18,Copy of Book 1.pdf,1,4,1,18,18,153,323,32–33,3,marked
b1-c4-s1-q19,Copy of Book 1.pdf,1,4,1,19,19,153,323,32–33,2,note
b1-c4-s1-q20,Copy of Book 1.pdf,1,4,1,20,20,153,323,32–33,3,marked
b1-c4-s1-q21,Copy of Book 1.pdf,1,4,1,21,21,153,323,32–33,4,marked
b1-c4-s1-q22,Copy of Book 1.pdf,1,4,1,22,22,154,324,32–33,5,marked
