ID,File,Book,Chapter,Set,Set item,Printed question number,Question PDF page,Answer PDF page,Reading PDF pages,Printed marked option position (1-based),Scoring status
b1-c5-s2-q10,Copy of Book 1.pdf,1,5,2,10,10,195,365,40–41,1,marked
b1-c5-s2-q11,Copy of Book 1.pdf,1,5,2,11,11,195,365,40–41,2,disputed
b1-c5-s2-q12,Copy of Book 1.pdf,1,5,2,12,12,195,365,40–41,2,note
b1-c5-s2-q13,Copy of Book 1.pdf,1,5,2,13,13,195,365,40–41,3,marked
b1-c5-s2-q14,Copy of Book 1.pdf,1,5,2,14,14,196,366,40–41,5,marked
b1-c5-s2-q15,Copy of Book 1.pdf,1,5,2,15,15,196,366,40–41,5,marked
b1-c5-s2-q16,Copy of Book 1.pdf,1,5,2,16,16,196,366,40–41,3,marked
b1-c5-s2-q17,Copy of Book 1.pdf,1,5,2,17,17,196,366,40–41,1,marked
b1-c5-s2-q18,Copy of Book 1.pdf,1,5,2,18,18,196,366,40–41,5,marked
b1-c5-s2-q19,Copy of Book 1.pdf,1,5,2,19,19,197,367,40–41,2,marked
b1-c5-s2-q20,Copy of Book 1.pdf,1,5,2,20,20,197,367,40–41,4,marked
b1-c5-s2-q21,Copy of Book 1.pdf,1,5,2,21,21,197,367,40–41,2,marked
b1-c5-s2-q22,Copy of Book 1.pdf,1,5,2,22,22,197,367,40–41,3,marked
b1-c5-s2-q23,Copy of Book 1.pdf,1,5,2,23,23,198,368,40–41,4,marked
b1-c5-s2-q24,Copy of Book 1.pdf,1,5,2,24,24,198,368,40–41,1,marked
b1-c5-s2-q25,Copy of Book 1.pdf,1,5,2,25,25,198,368,40–41,4,marked
b1-c5-s2-q26,Copy of Book 1.pdf,1,5,2,26,26,198,368,40–41,5,marked
b1-c5-s2-q27,Copy of Book 1.pdf,1,5,2,27,27,198,368,40–41,1,marked
b1-c5-s2-q28,Copy of Book 1.pdf,1,5,2,28,28,199,369,40–41,5,marked
b1-c5-s2-q29,Copy of Book 1.pdf,1,5,2,29,29,199,369,40–41,4,marked
b1-c5-s2-q30,Copy of Book 1.pdf,1,5,2,30,30,199,369,40–41,2,marked
